awardID,fiscalYear,currentValue,duns,companyCongCode,performanceCongCode
70CMSD18FR0000120,2018,19402.08,166669742,5107,5107
70CMSD18FR0000121,2018,6045,43957141,648,5110
70CMSD18FR0000122,2018,4000,603814054,3901,2508
70CMSD18FR0000123,2018,6272.2,615378007,2408,5111
70CMSD18FR0000124,2018,26641.7,166669742,5107,5111
70CMSD18FR0000125,2018,4600,932469612,1223,1223
70CMSD18FR0000127,2018,4000,690557624,3411,3411
70CMSD18FR0000128,2018,9148.86,690552815,5111,4824
70CMSD18P00000001,2018,15000,41002973,3620,3620
70CMSD18P00000003,2018,5654,118727283,5110,5111
70CMSD18P00000004,2018,4351,182546234,405,403
70CMSD18P00000006,2018,14300,944508394,408,408
70CMSD18P00000007,2018,18321.07,195970504,3501,3501
70CMSD18P00000008,2018,9900,73351538,652,644
70CMSD18P00000009,2018,3646,118727283,5110,5111
70CMSD18P00000010,2018,4182,622814648,5108,5110
70CMSD18P00000011,2018,5750,969239529,3202,403
70CMSD18P00000012,2018,8329.05,968058177,651,2705
70CMSD18P00000013,2018,12365.67,165449872,5301,5111
70CMSD18P00000014,2018,14800,20141404,409,407
70CMSD18P00000015,2018,55262.43,80524318,2401,2401
70CMSD18P00000016,2018,3950,9307336,4802,4802
70CMSD18P00000017,2018,17425,27541754,5306,5306
70CMSD18P00000018,2018,21704,828604871,1705,4201
70CMSD18P00000019,2018,742022.94,78411793,1208,4208
70CMSD18P00000020,2018,2760,70622857,3712,3712
70CMSD18P00000021,2018,6152.08,150776503,904,4820
70CMSD18P00000022,2018,4000,944508394,408,407
70CMSD18P00000023,2018,27380,33095568,3411,3411
70CMSD18P00000024,2018,3125,80540981,2405,3911
70CMSD18P00000026,2018,66434,138619452,639,4708
70CMSD18P00000028,2018,5932.74,121016844,4810,4810
70CMSD18P00000029,2018,11000,7978117,4502,4502
70CMSD18P00000030,2018,12000,3133790,5109,5109
70CMSD18P00000031,2018,8760,969239529,3202,1705
70CMSD18P00000032,2018,7999,96571862,1602,1602
70CMSD18P00000033,2018,6025,78689554,5103,5108
70CMSD18P00000035,2018,94800,42557936,2504,2504
70CMSD18P00000036,2018,11818.8,90588914,7298,7200
70CMSD18P00000037,2018,65810,806647801,2401,4708
70CMSD18P00000039,2018,4785,153956417,406,403
70CMSD18P00000040,2018,6000,969239529,3202,409
70CMSD18P00000042,2018,7140,5069760,1710,2406
70CMSD18P00000043,2018,19250,43329327,2611,2611
70CMSD18P00000045,2018,98000,58369562,1198,3612
70CMSD18P00000046,2018,25000,80001807,5111,5111
70CMSD18P00000047,2018,13628.7,627071103,1220,612
70CMSD18P00000048,2018,7229,168563794,3914,407
70CMSD18P00000049,2018,12990,248503187,627,627
70CMSD18P00000050,2018,9316,79453470,802,802
70CMSD18P00000051,2018,206617,171852098,3404,3610
70CMSD18P00000053,2018,5100,969239529,3202,4824
70CMSD18P00000054,2018,13750,126111272,804,801
70CMSD18P00000055,2018,4130,8299393,4821,5110
70CMSD18P00000056,2018,71600,623591174,602,602
70CMSD18P00000057,2018,6093.78,788828457,4803,4824
70CMSD18P00000058,2018,42265,90111733,7298,7200
70CMSD18P00000059,2018,11705,792851032,7298,7200
70CMSD18P00000060,2018,4318.5,4203337,5106,801
70CMSD18P00000061,2018,7500,81154401,2406,1100
70CMSD18P00000062,2018,8207.04,25761714,3407,3407
70CMSD18P00000063,2018,5967.9,87403499,3612,3612
70CMSD18P00000065,2018,7996.8,79827246,3612,1100
70CMSD18P00000066,2018,9875.64,948396890,5108,5108
70CMSD18P00000067,2018,11899.52,884745530,5307,644
70CMSD18P00000070,2018,5000,556820459,1227,1227
70CMSD18P00000071,2018,13090,27541754,5306,5306
70CMSD18P00000072,2018,5995,87403499,3612,3612
70CMSD18P00000073,2018,20087.22,8898884,3301,3301
70CMSD18P00000074,2018,7202,958313769,804,804
70CMSD18P00000075,2018,20000,14197144,5107,5107
70CMSD18P00000076,2018,4832000,4203337,1208,1208
