fiscalYear,currentValue,name,duns,multiYear
2018,14747.7,Atlantic Diving Supply,27079776,true
2018,9350,Benefit Planning,790801765,true
2018,9275,Benefit Planning,790801765,true
2018,11050,Benefit Planning,790801765,true
2018,4975,Benefit Planning,790801765,true
2018,31897.81,Price Modern,3073525,true
2018,31718.06,Price Modern,3073525,true
2018,11325,Benefit Planning,790801765,true
2018,9050,Benefit Planning,790801765,true
2018,100675.17,Price Modern,3073525,true
2018,99498.13,Price Modern,3073525,true
2018,5275,Benefit Planning,790801765,true
2018,246920.7,Price Modern,3073525,true
2018,49835.42,Price Modern,3073525,true
2018,3553.25,Price Modern,3073525,true
2018,22771.98,U.S. Business Interiors,614386019,false
2018,8548,Price Modern,3073525,true
2018,10035.64,Price Modern,3073525,true
2018,30618,VF Imagewear,4048013,true
2018,2889710.08,Chenega Facilities Management,78650478,false
2018,3500,Federal Express Corporation,610703282,false
2018,10520,LRP Publications,85698900,false
2018,3500,United Parcel Service Co.,155953086,false
2018,275630,Vista Outdoor Sales,79331239,true
2018,5862.5,Complete Book & Media Supply,10891187,false
2018,38153.6,Aardvark,861004349,true
2018,14696.64,VF Imagewear,4048013,true
2018,1164587.95,Sig Sauer,78770392,true
2018,56490,John Wiley & Sons,1519248,true
2018,22304.48,Vista Outdoor Sales,79331239,true
2018,559335.5,KCorp Support Services,790993252,true
2018,748192.93,Tactical & Survival Specialties,607775848,true
2018,8222.5,Hardigg Industries,1121912,false
2018,324650,Vista Outdoor Sales,79331239,true
2018,205069.4,Tactical & Survival Specialties,607775848,true
2018,15655.64,Nova Solutions,194331401,false
2018,4950,Coronado Distribution Company,965961860,false
2018,985034.88,Vista Outdoor Sales,79331239,true
2018,14078.52,Atlantic Diving Supply,27079776,true
2018,16227.54,VF Imagewear,4048013,true
2018,13636.48,Tactical & Survival Specialties,607775848,true
2018,1897,Security Engineered Machinery Co.,5957329,true
2018,582209.67,Sig Sauer,78770392,true
2018,279500,Vista Outdoor Sales,79331239,true
2018,50722.8,Aardvark,861004349,true
2018,95311.98,Aardvark,861004349,true
2018,29867.52,VF Imagewear,4048013,true
2018,9381.25,Varidesk,79464963,true
2018,10340.98,Tactical & Survival Specialties,607775848,true
2018,8530,Perfect Fit,557049830,false
2018,483320,Vista Outdoor Sales,79331239,true
2018,384560,Vista Outdoor Sales,79331239,true
2018,239630,Vista Outdoor Sales,79331239,true
2018,49395.8,Sampson Partners,124623039,true
2018,40786.2,Black Gold Industries,182004838,false
2018,1457844.39,Chenega Facilities Management,78650478,false
2018,37503.25,Vista Outdoor Sales,79331239,true
2018,28991.32,"Hergo, Ergonomic Support Systems",791990146,true
2018,183031.8,Johns Hopkins University,1910777,false
2018,7427.64,Axiscore,618932227,true
2018,317217.92,Serco Services,14387489,false
2018,5032.32,VF Imagewear,4048013,true
2018,54500,Remington Arms Company,1453216,true
2018,25161.6,VF Imagewear,4048013,true
2018,6325.74,Tactical & Survival Specialties,607775848,true
2018,14615,John Wiley & Sons,1519248,true
2018,15900,International Association of Chiefs of Police,72632482,false
2018,20774.98,Freeman Expositions,7821085,true
2018,9529.7,Montrose Air Quality Services,79627382,false
2018,9969.6,Atlantic Diving Supply,27079776,true
2018,26490.3,San Diego Power,80956862,false
2018,101172.4,United Tactical Systems,78537385,true
2018,22000,Risklens,968509575,false
2018,11860,Goodco Mechanical,15490144,true
2018,28052,Helgen Industries,93315810,false
2018,458671.6,Kapsuun Group,79539589,false
2018,518746.71,ARS Aleut Construction,80406524,false
2018,14622,Model Concept Communications,80747506,false
2018,12470,Vermont State Colleges,807840608,true
2018,12000,Management Concepts,82355652,true
2018,9117.45,Gaylord Bros.,135745219,false
2018,4738.45,Varidesk,79464963,true
2018,30960,Tailored Training Programs,783194116,false
2018,4000,Rudman Wink Associates,806873761,false
2018,91812,Global Traveler,80000464,false
2018,11400,Remington Arms Company,1453216,true
2018,22780,Varidesk,79464963,true
2018,5149.08,Testequity,623425563,false
2018,293946,Modular Concepts,16538643,false
2018,5253.99,Forbes,27839211,false
2018,4838.2,Testequity,623425563,false
2018,215813.69,at Your Service Heating & Cooling,9557104,true
2018,4820.2,Tucson Hotels,68267934,false
2018,,FCN,615378007,true
2018,4146879.11,U.S. Bancorp,6213482,false
2018,396741,Kalos,31414766,false
2018,6609.25,Net Direct Systems,54007823,true
2018,7884.72,Dell Federal Systems,149530219,true
2018,131639.5,Net Direct Systems,54007823,true
2018,2220.99,Net Direct Systems,54007823,true
2018,73255,Net Direct Systems,54007823,true
2018,6871.06,Net Direct Systems,54007823,true
2018,3701.65,Net Direct Systems,54007823,true
2018,32925,FCN,615378007,true
2018,17166.93,Net Direct Systems,54007823,true
2018,2961.32,Net Direct Systems,54007823,true
2018,12210,FCN,615378007,true
2018,37486.4,Escgov,136155178,true
2018,9302.56,FCN,615378007,true
2018,27954.6,Escgov,136155178,true
2018,3399.48,FCN,615378007,true
2018,468155.25,Dell Federal Systems,149530219,true
2018,9906.87,Govplace,957050883,true
2018,7725.68,FCN,615378007,true
2018,35136.91,Govplace,957050883,true
2018,33529.1,FCN,615378007,true
2018,4106.62,FCN,615378007,true
2018,14392.32,FCN,615378007,true
2018,15328.48,FCN,615378007,true
2018,141.53,FCN,615378007,true
2018,23074.88,FCN,615378007,true
2018,180691.5,Dell Federal Systems,149530219,true
2018,7942.52,FCN,615378007,true
2018,21842.66,FCN,615378007,true
2018,10256.95,FCN,615378007,true
2018,25120.67,FCN,615378007,true
2018,20440.25,Govplace,957050883,true
2018,1699.74,FCN,615378007,true
2018,5099.22,FCN,615378007,true
2018,244.22,FCN,615378007,true
2018,80336.09,Govplace,957050883,true
2018,20905.08,FCN,615378007,true
2018,1058594.33,Unicom Government,107939357,true
2018,142824.13,Govplace,957050883,true
2018,338022,Immixtechnology,98692374,true
2018,364573.04,Immixtechnology,98692374,true
2018,80643,FCN,615378007,true
2018,849.87,FCN,615378007,true
2018,7542.35,Govplace,957050883,true
2018,2549.61,FCN,615378007,true
2018,20311.26,FCN,615378007,true
2018,13394.56,FCN,615378007,true
2018,61586.42,FCN,615378007,true
2018,5539.44,FCN,615378007,true
2018,830240.13,Unicom Government,107939357,true
2018,5833.7,FCN,615378007,true
2018,51780.3,FCN,615378007,true
2018,25611.02,FCN,615378007,true
2018,1278.08,FCN,615378007,true
2018,1148309.53,Escgov,136155178,true
2018,1739.74,FCN,615378007,true
2018,44029.48,FCN,615378007,true
2018,8248.38,FCN,615378007,true
2018,10006.7,FCN,615378007,true
2018,42174.3,FCN,615378007,true
2018,11525.04,FCN,615378007,true
2018,41175.6,Dell Federal Systems,149530219,true
2018,3312.96,FCN,615378007,true
2018,6948.06,FCN,615378007,true
2018,6335.82,FCN,615378007,true
2018,6890.12,FCN,615378007,true
2018,14153,FCN,615378007,true
2018,20288.8,FCN,615378007,true
2018,47550.03,FCN,615378007,true
2018,1738.6,FCN,615378007,true
2018,58151.4,FCN,615378007,true
2018,17053.4,FCN,615378007,true
2018,19383.8,FCN,615378007,true
2018,56088,Dell Federal Systems,149530219,true
2018,16286.14,Panamerica Computers,166669742,true
2018,77740,C & C International Computers & Consultants,932469612,true
2018,74051.25,Fronteo Government Services,623624751,false
2018,42910.61,Anacapa Micro Products,556496370,true
2018,47780.13,Anacapa Micro Products,556496370,true
