lat,lon,detloc,name,city,state
30.500814,-91.215436,WBATOLA,WEST BATON ROUGE DETENTION CENTER,PORT ALLEN,LA
45.563391,-122.53842,MULTNOR,MULTNOMAH COUNTY JAIL,PORTLAND,OR
36.034108,-94.176027,WASHIAR,WASHINGTON COUNTY DETENTION CENTER,FAYETTEVILLE,AR
42.934481,-78.557346,EIRCONY,ERIE COUNTY CORRECTIONAL,ALDEN,NY
39.90914,-105.147475,BROOMCO,BROOMFIELD DETENTION CENTER,BROOMFIELD,CO
47.40313,-97.063527,TRAILND,TRAIL COUNTY JAIL,HILLSBORO,ND
39.222096,-105.989497,PARKJCO,PARK COUNTY JAIL,FAIRPLAY,CO
43.653259,-82.893211,MENMJUV,NORTHERN MAINE JUVENILE DETENTION,CHARLESTON,ME
43.59457,-116.286983,BOIHOLD,BOISE HOLDROOM,BOISE,ID
44.898788,-97.113444,CODINSD,CODINGTON COUNTY,WATERTOWN,SD
38.080045,-89.38188,PERRYIL,PERRY COUNTY JAIL,PINCKNEYVILLE,IL
41.844305,-97.456784,NEJUVNE,NORTHEAST NEBRASKA JUVENILE SERVICES,MADISON,NE
33.422871,-84.171062,HENRYGA,HENRY COUNTY SHERIFF,MCDONOUGH,GA
33.44692,-112.075172,MCSPEAZ,MCSO SPECIAL USE FACILITY,PHOENIX,AZ
35.510997,-78.346227,JOHNSNC,JOHNSTON COUNTY DETENTION CENTER,SMITHSFIELD,NC
37.642213,-98.111687,KINGMKS,KINGMAN COUNTY JAIL,KINGMAN,KS
38.484967,-107.890273,MONTRCO,MONTROSE COUNTY JAIL,MONTROSE,CO
27.964903,-82.373016,HICOJFL,HILLSBOROUGH COUNTY JAIL,TAMPA,FL
43.372295,-87.897249,OZAUKWI,OZAUKEE COUNTY JAIL,PORT WASHINGTON,WI
55.348768,-131.647277,AKKETCH,KETCHIKAN REGIONAL CC,KETCHIKAN,AK
38.855627,-91.939596,CALLAMO,CALLAWAY COUNTY JAIL,FULTON,MO
33.584447,-101.845563,LBKHOLD,LUBBOCK HOLD ROOM,LUBBOCK,TX
32.562133,-99.63511,ABTHOLD,ABILENE HOLD ROOM,ABILENE,TX
41.14305,-96.041736,SARPYNE,SARPY COUNTY JAIL,PAPILLION,NE
32.420424,-97.196841,PRLHOLD,PRAIRIELAND SUBOFFICE HOLD ROOM,ALVARADO,TX
40.859139,-79.895482,BUTLEPA,BUTLER COUNTY JAIL (PENNSYLVANIA),BUTLER,PA
43.068788,-94.238131,KOSSUIA,KOSSUTH COUNTY JAIL,ALGONA,IA
41.864285,-87.846991,LYOLAIL,LOYOLA CENTER FOR HEALTH,MAYWOOD,IL
29.428297,-98.508282,WCCBXTX,BEXAR COUNTY WACKENHUT ANNUAL DETENTION,SAN ANTONIO,TX
30.326266,-89.338826,HANCOMS,HANCOCK COUNTY JAIL,BAY ST. LOUIS,MS
41.841573,-89.482121,LEECJIL,LEE COUNTY JAIL,DIXON,IL
31.462975,-100.439949,TGREETX,TOM GREEN COUNTY JAIL,SAN ANGELO,TX
38.624304,-90.199749,STLHOLD,ST. LOUIS HOLDROOM,ST. LOUIS,MO
40.705141,-111.869687,SLCHOLD,SALT LAKE CITY HOLD ROOM,WEST VALLEY CITY,UT
47.923773,-97.034841,GRFHOLD,GRAND FORKS HOLD ROOM,GRAND FORKS,ND
34.04867,-118.233776,TEMPLCA,TEMPLE MEDICAL,LOS ANGELES,CA
41.504818,-81.690821,CLEHOLD,CLEVELAND HOLD ROOM,CLEVELAND,OH
40.382857,-76.012323,BRKHOLD,BERKS HOLD ROOM,LEESPORT,PA
44.051091,-123.090793,LANECOR,LANE COUNTY JAIL,EUGENE,OR
38.333518,-87.192157,KENNEME,KENNEBEC COUNTY JAIL,AUGUSTA,ME
31.354597,-110.92778,SCRUZAZ,SANTA CRUZ COUNTY JAIL,NOGALES,AZ
47.492384,-122.292496,SEAHOLD,SEATTLE FIELD OFFICE HOLD ROOM,SEATTLE,WA
41.002455,-95.894962,SARJUNE,SARPY COUNTY JUVENILE,PAPILLION,NE
40.711757,-73.828899,QUEHONY,QUEENS HOUSE OF DETENTION,KEW GARDENS,NY
40.382114,-76.016424,BEJUVPA,BERKS COUNTY,LEESPORT,PA
40.382114,-76.016424,BESECPA,BERKS COUNTY SECURED JUVENILE,LEESPORT,PA
40.010307,-79.077602,SOMERPA,SOMERSET COUNTY JAIL,SOMERSET,PA
33.21528,-97.11199,DENTOTX,DENTON COUNTY JAIL,DENTON,TX
40.38172,-76.018363,BERKSPA,BERKS COUNTY PRISON,LEESPORT,PA
41.675975,-86.252051,STJOSIN,ST. JOSEPH COUNTY JAIL,SOUTH BEND,IN
26.478305,-80.079351,GLADEF2,GLADES COUNTY DETENTION CENTER FEMALE,MOORE HAVEN,FL
48.373289,-114.183213,CFALSMT,COLUMBIA FALLS POLICE DEPARTMENT,COLUMBIA FALLS,MT
42.887987,-78.877725,BUFHOLD,BUFFALO HOLD ROOM,BUFFALO,NY
43.152965,-77.614545,MONRONY,MONROE COUNTY JAIL,ROCHESTER,NY
61.21864,-149.85856,AKCOOKI,COOK INLET PRETRIAL (ANCHORAGE),ANCHORAGE,AK
39.327667,-94.935501,BOPLVN,LEAVENWORTH US PENITENTIARY,LEAVENWORTH,KS
31.842282,-103.088782,WINCOTX,WINKLER COUNTY JAIL,KERMIT,TX
36.357425,-94.228989,BENTOAR,BENTON COUNTY DETENTION CENTER,BENTONVILLE,AR
33.737901,-118.305553,SPHOSCA,SAN PEDRO PENINSULA HOSPITAL,SAN PEDRO,CA
26.121832,-80.158437,FTLAUFL,FORT LAUDERDALE CITY JAIL,FT.LAUDERDALE,FL
26.681933,-80.251446,PWHOSFL,PALMS WEST HOSPITAL,LOXAHATCHEE,FL
26.156904,-97.710323,STHOSTX,SOUTH TEXAS HOSPITAL,HARLINGEN,TX
38.228305,-78.117423,CVREGVA,CENTRAL VA REGIONAL JAIL,ORANGE COUNTY,VA
