duns,cleanName,vendorName,origName,url
8172632,J & S Power Solutions,J & S Power Solutions Inc,J & S POWER SOLUTIONS INC,
8188898,The Lighthouse for the Blind in New Orleans,The Lighthouse For The Blind In New Orleans Incorporated,"LIGHTHOUSE FOR THE BLIND IN NEW ORLEANS, INCORPORATED, THE",
7242498,Envision,"Envision, Inc.","ENVISION, INC.",
81075704,Demus Enterprise,Demus Enterprise Corp.,DEMUS ENTERPRISE CORP.,
108608555,Fire Safety Systems,Fire Safety Systems Inc.,FIRE SAFETY SYSTEMS INC.,
80942123,Green 320,"Green 320, LLC","GREEN 320, LLC",
112753194,L3 Technologies,"L3 Technologies, Inc.",L-3 COMMUNICATIONS CORPORATION,
73695165,Asso for the Blind and Visually Impaired-Goodwill Industries of Greater Rochester,"Asso For The Blind and Visually Impaired-Goodwill Industries of Greater Rochester, Inc.","ASSO FOR THE BLIND AND VISUALLY IMPAIRED-GOODWILL INDUSTRIES OF GREATER ROCHESTER, INC.",
797470549,Cornell Companies,"Cornell Companies, Inc.","CORNELL COMPANIES, INC.",
39203740,Management & Training Corporation,Management & Training Corporation,MANAGEMENT & TRAINING CORPORATION,
783194087,Justice Packaging Corporation,Justice Packaging Corporation,JUSTICE PACKAGING CORPORATION,
92591208,New Tech Central,,NEW TECH CENTRAL LLC,
79090324,Victory Supply,"Victory Supply, LLC","VICTORY SUPPLY, LLC",
809953081,Hale Outdoor Products,"Hale Outdoor Products, LLC","HALE OUTDOOR PRODUCTS, LLC",
877474973,County of Orange,County of Orange,COUNTY OF ORANGE,
79618290,Mil-Comm Group International,"Mil-Comm Group International, LLC","MIL-COMM GROUP INTERNATIONAL, LLC",
80590937,ABM Industry Groups,"ABM Industry Groups, LLC","ABM INDUSTRY GROUPS, LLC",
78613913,Sirona Dental,"Sirona Dental, Inc.","SIRONA DENTAL, INC.",http://www.sirona.com
601716475,Autoclear,AUTOCLEAR LLC,AUTOCLEAR LLC,http://www.autoclear.com
20291605,National Sheriffs’ Association,National Sheriffs’ Association,NATIONAL SHERIFFS' ASSOCIATION,
155922172,County of Santa Clara,County of Santa Clara,"SANTA CLARA, COUNTY OF",
3250552,Brede-Washington,"Brede-Washington, Inc.","BREDE-WASHINGTON, INC.",
926918756,Interceptor Public Safety Products,"Interceptor Public Safety Products, Inc.","INTERCEPTOR PUBLIC SAFETY PRODUCTS, INC.",
872904193,Executive Office of the State of North Carolina,Executive Office of The State of North Carolina,EXECUTIVE OFFICE OF THE STATE OF NORTH CAROLINA,
160530572,County of Santa Clara,County of Santa Clara,"SANTA CLARA, COUNTY OF",
45281529,PMA 13,"Pma 13, Inc.","PMA-13, INC.",
21522834,New Dimension Awards,New Dimension Awards Inc,NEW DIMENSION AWARDS INC,
615378007,FCN,"Fcn, Inc.",FCN,
54007823,Net Direct Systems,"NET DIRECT SYSTEMS, LLC","NET DIRECT SYSTEMS, LLC",HTTP://WWW.NETDIRECTSYSTEMS.COM
18832795,Envisage Technologies,"Envisage Technologies, LLC","ENVISAGE TECHNOLOGIES, LLC",
82355652,Management Concepts,"Management Concepts, Inc.",MANAGEMENT CONCEPTS INCORPORATED,
146047928,The Go to Group,The Go To Group Inc,"GO TO GROUP, INC, THE",
79410657,Marinus Analytics,Marinus Analytics LLC,MARINUS ANALYTICS LLC,
37335296,Personnel Decisions Research Institutes,"Personnel Decisions Research Institutes, LLC","PERSONNEL DECISIONS RESEARCH INSTITUTES, INC",
80747506,Model Concept Communications,"Model Concept Communications, LLC","MODEL CONCEPT COMMUNICATIONS, LLC",
78825612,Bowhead Communication Services,"Bowhead Communication Services, LLC","BOWHEAD COMMUNICATION SERVICES, LLC",
964551386,Dentrust Dental International,"Dentrust Dental International, Inc.","DENTRUST DENTAL INTERNATIONAL, INC.",
808137546,Vastec,"Vastec, Inc.","VASTEC, INC.",
136155178,Escgov,"ESCGOV, INC.",ESCGOV,
619712672,Omniplex World Services,Omniplex World Services Corp,OMNIPLEX WORLD SERVICES CORP,
152867235,Keypoint Government Solutions,"Keypoint Government Solutions, Inc.",KROLL GOVERNMENT SERVICES,
33892381,MSM Security Services,"MSM Security Services, LLC",MANTECH M S M SECURITY SERVICE,http://www.msmsecurity.com
146389994,ADC LTD NM,ADC Ltd NM,CORDOVA SUPPORT SERVICES LIMITED,
79735371,CSRA,CSRA LLC,CSRA LLC,
807680421,Capitol Digital Document Solutions,Capitol Digital Document Solutions,CAPITOL DIGITAL DOCUMENT SOLUTIONS,
969770952,Sixt Rent A Car,"Sixt Rent A Car, LLC","SIXT RENT A CAR, LLC",
1197789,V.H. Blackinton & Co.,"V.H. Blackinton & Co., Inc.","V.H. BLACKINTON & CO., INC.",
64465503,Kyocera Document Solutions America,"Kyocera Document Solutions America, Inc.","KYOCERA DOCUMENT SOLUTIONS AMERICA, INC.",
57823684,Strong Group,"STRONG GROUP, INC.","STRONG GROUP, INC.",
556496370,Anacapa Micro Products,"Anacapa Micro Products, Inc.","ANACAPA MICRO PRODUCTS, INC.",
190828541,DTC Communications,"Dtc Communications, Inc.","DTC COMMUNICATIONS, INC.",
825060309,NTERONE Corporation,Nterone Corporation,NTERONE CORPORATION,
78374094,FS Partners,FS PARTNERS LLP,FS PARTNERS LLP,
611239542,Dollar Thrifty Automotive Group,"Dollar Thrifty Automotive Group, Inc.","DOLLAR THRIFTY AUTOMOTIVE GROUP, INC.",
20569067,Itin Scale Co.,"Itin Scale Co., Inc.",ITIN SCALE COMPANY INCORPORATED,
617635735,Kusar Court Reporters & Legal Services,"Kusar Court Reporters & Legal Services, Inc.","KUSAR COURT REPORTERS & LEGAL SERVICES,INC.",
626578041,Konica Minolta Business Solutions U.S.A.,"Konica Minolta Business Solutions U.S.A., Inc.","KONICA MINOLTA BUSINESS SOLUTIONS U.S.A., INC.",
20149303,New Tech Solutions,"New Tech Solutions, Inc.",NEW TECH SOLUTIONS INC,
151772530,Rimage Corporation,Rimage Corporation,RIMAGE CORPORATION,
89896737,Four Points Technology,"Four Points Technology, L.L.C.","FOUR POINTS TECHNOLOGY, L.L.C.",
88692843,Central States Wire Products,"Central States Wire Products, Inc.",CENTRAL STATES WIRE PRODUCTS INCORPORATED,
112893131,Thermo Scientific Portable Analytical Instruments,Thermo Scientific Portable Analytical Instruments Inc.,AHURA SCIENTIFIC INC.,
610342818,Athens Technical Specialists,"Athens Technical Specialists, Inc","ATHENS TECHNICAL SPECIALISTS, INC",
101753403,Hanaps Enterprises,Hanaps Enterprises,HANAPS ENTERPRISES,
121701957,Blue Tech,Blue Tech Inc.,BLUE TECH INC.,http://www.bluetech.com
122767437,Integrated Parcel Network,Integrated Parcel Network,INTEGRATED PARCEL NETWORK,
39860122,Xerox Corporation,Xerox Corporation,XEROX CORPORATION,
43964519,Ricoh Usa,"Ricoh Usa, Inc.","RICOH USA, INC.",
968093398,Sumuri,Sumuri LLC,SUMURI LLC,
85698900,LRP Publications,"Lrp Publications, Inc.","LRP PUBLICATIONS, INC.",
116194192,Canon U.S.A.,"Canon U.S.A., Inc.","CANON U.S.A., INC.",
166669742,Panamerica Computers,"Panamerica Computers, Inc.","PANAMERICA COMPUTERS, INC.",
